 INFO  Accepting connections at http://localhost:5173
 HTTP  3/12/2026 1:34:09 PM ::1 GET /
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 59 ms
 HTTP  3/12/2026 1:34:09 PM ::1 GET /assets/index-D7oyuR2Z.js
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 7 ms
 HTTP  3/12/2026 1:34:09 PM ::1 GET /assets/ErrorBoundary-DTqQqHaD.js
 HTTP  3/12/2026 1:34:09 PM ::1 GET /assets/index-CjHK8NEM.js
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:34:09 PM ::1 GET /assets/App-DtXgP7n0.css
 HTTP  3/12/2026 1:34:09 PM ::1 GET /assets/App-wxg0IufP.js
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 11 ms
 HTTP  3/12/2026 1:34:09 PM ::1 Returned 200 in 11 ms
 HTTP  3/12/2026 1:34:10 PM ::1 GET /assets/profile1-nbg-C1QMsK15.png
 HTTP  3/12/2026 1:34:10 PM ::1 GET /assets/profile2-nbg-ChG7iEmA.png
 HTTP  3/12/2026 1:34:10 PM ::1 GET /assets/profile3-nbg-C_1LoHBy.png
 HTTP  3/12/2026 1:34:10 PM ::1 GET /assets/profile4-CbMkXQhf.png
 HTTP  3/12/2026 1:34:10 PM ::1 GET /assets/shell-RDy3BuVh.png
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 200 in 7 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 200 in 13 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 200 in 10 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 200 in 13 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 200 in 39 ms
 HTTP  3/12/2026 1:34:10 PM ::1 GET /_vercel/speed-insights/script.js
 HTTP  3/12/2026 1:34:10 PM ::1 GET /api/notion?database=projects
 HTTP  3/12/2026 1:34:10 PM ::1 GET /api/notion?database=work
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 404 in 3 ms
 HTTP  3/12/2026 1:34:10 PM ::1 GET /api/notion?database=about
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 404 in 7 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 404 in 5 ms
 HTTP  3/12/2026 1:34:10 PM ::1 Returned 404 in 5 ms
 HTTP  3/12/2026 1:34:32 PM ::1 GET /
 HTTP  3/12/2026 1:34:32 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:32 PM ::1 GET /assets/index-D7oyuR2Z.js
 HTTP  3/12/2026 1:34:32 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/ErrorBoundary-DTqQqHaD.js
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/index-CjHK8NEM.js
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/App-DtXgP7n0.css
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/App-wxg0IufP.js
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/profile1-nbg-C1QMsK15.png
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/profile2-nbg-ChG7iEmA.png
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/profile3-nbg-C_1LoHBy.png
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/profile4-CbMkXQhf.png
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 5 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 4 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 4 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 5 ms
 HTTP  3/12/2026 1:34:33 PM ::1 GET /assets/shell-RDy3BuVh.png
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:34:33 PM ::1 GET /_vercel/speed-insights/script.js
 HTTP  3/12/2026 1:34:33 PM ::1 GET /api/notion?database=projects
 HTTP  3/12/2026 1:34:33 PM ::1 GET /api/notion?database=work
 HTTP  3/12/2026 1:34:33 PM ::1 GET /api/notion?database=about
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 404 in 2 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 404 in 4 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 404 in 3 ms
 HTTP  3/12/2026 1:34:33 PM ::1 Returned 404 in 4 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/index-D7oyuR2Z.js
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/ErrorBoundary-DTqQqHaD.js
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/index-CjHK8NEM.js
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/App-DtXgP7n0.css
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/App-wxg0IufP.js
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/profile1-nbg-C1QMsK15.png
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/profile2-nbg-ChG7iEmA.png
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/profile3-nbg-C_1LoHBy.png
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/profile4-CbMkXQhf.png
 HTTP  3/12/2026 1:35:05 PM ::1 GET /assets/shell-RDy3BuVh.png
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /_vercel/speed-insights/script.js
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 404 in 2 ms
 HTTP  3/12/2026 1:35:05 PM ::1 GET /api/notion?database=projects
 HTTP  3/12/2026 1:35:05 PM ::1 GET /api/notion?database=work
 HTTP  3/12/2026 1:35:05 PM ::1 GET /api/notion?database=about
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 404 in 1 ms
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 404 in 3 ms
 HTTP  3/12/2026 1:35:05 PM ::1 Returned 404 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/index-D7oyuR2Z.js
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/ErrorBoundary-DTqQqHaD.js
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/index-CjHK8NEM.js
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/App-DtXgP7n0.css
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/App-wxg0IufP.js
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/profile1-nbg-C1QMsK15.png
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/profile2-nbg-ChG7iEmA.png
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/profile3-nbg-C_1LoHBy.png
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/profile4-CbMkXQhf.png
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 3 ms
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:28 PM ::1 GET /assets/shell-RDy3BuVh.png
 HTTP  3/12/2026 1:35:28 PM ::1 Returned 200 in 2 ms
 HTTP  3/12/2026 1:35:29 PM ::1 GET /_vercel/speed-insights/script.js
 HTTP  3/12/2026 1:35:29 PM ::1 Returned 404 in 1 ms
 HTTP  3/12/2026 1:35:29 PM ::1 GET /api/notion?database=projects
 HTTP  3/12/2026 1:35:29 PM ::1 GET /api/notion?database=work
 HTTP  3/12/2026 1:35:29 PM ::1 GET /api/notion?database=about
 HTTP  3/12/2026 1:35:29 PM ::1 Returned 404 in 4 ms
 HTTP  3/12/2026 1:35:29 PM ::1 Returned 404 in 4 ms
 HTTP  3/12/2026 1:35:29 PM ::1 Returned 404 in 4 ms
 HTTP  3/12/2026 1:36:03 PM ::1 GET /
 HTTP  3/12/2026 1:36:03 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:36:03 PM ::1 GET /assets/index-D7oyuR2Z.js
 HTTP  3/12/2026 1:36:03 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:36:03 PM ::1 GET /assets/ErrorBoundary-DTqQqHaD.js
 HTTP  3/12/2026 1:36:03 PM ::1 GET /assets/index-CjHK8NEM.js
 HTTP  3/12/2026 1:36:03 PM ::1 Returned 200 in 1 ms
 HTTP  3/12/2026 1:36:03 PM ::1 Returned 200 in 1 ms
